DateTime,AddedIPs,RemovedIPs
1593914521,5,0
1593915721,2,0
1593916921,7,0
1593917282,34,42
1593918122,2,0
1593919322,8,0
1593920521,11,0
1593921122,48,50
1593921722,4,0
1593922921,1,0
1593924122,6,0
1593924962,33,38
1593925321,7,0
1593926521,6,0
1593927181,1,0
1593927721,1,0
1593928322,2,0
1593928803,35,28
1593930121,4,0
1593930724,5,2173
1593931321,5,0
1593932881,2171,0
1593933722,13,1
1593934802,19,18
1593934921,1,0
1593936121,4,1
1593937321,1,0
1593938642,19,14
1593939121,1,0
1593940048,3,0
1593940921,1,0
1593941522,6,0
1593942121,2,0
1593942482,11,14
1593942721,1,0
1593943321,3,0
1593944521,3,0
1593945121,2,0
1593945721,1,0
1593947521,1,0
1593948242,17,33
1593948721,1,0
1593949321,2,0
1593949922,4,0
1593950406,12,15
1593950521,2,0
1593951121,1,0
1593951721,1,1
1593952387,16,17
1593952921,3,1
1593953521,1,0
1593954121,3,0
1593956162,22,9
1593958081,12,15
1593958321,1,1
1593960121,4,2
1593960721,1,0
1593961921,3,0
1593962521,8,0
1593963461,1,0
1593963842,17,18
1593964921,4,0
1593965521,1,0
1593966721,4,0
1593967321,1,0
1593967921,2,0
1593968521,2,0
1593969601,17,23
1593969721,1,0
1593971521,15,15
1593972121,3,0
1593973321,0,1
1593973921,1,0
1593975362,16,21
1593975722,1,0
1593976921,0,1
1593978121,5,0
1593978721,2,0
1593979205,19,27
1593979321,1,0
1593980521,1,0
1593981121,3,2647
1593981721,4,0
1593983042,2648,0
1593984121,1,0
1593984961,14,13
1593985321,3,0
1593986522,1,0
1593987121,1,1
1593987721,1,0
1593988381,2,0
1593989042,21,15
1593990375,1,0
1593991321,4,0
1593992521,1,1
1593992881,31,19
1593993756,6,0
1593994921,2,0
1593995521,3,0
1593996122,4,0
1593996722,24,19
1593997321,4,0
1593998521,2,0
1593999121,1,0
1593999721,4,0
1594000564,41,23
1594000922,6,0
1594002121,3,1
1594002721,1,0
1594003322,5,0
1594003921,9,1
1594004408,43,45
1594004521,1,1
1594005721,4,0
1594006322,19,1756
1594006922,5,0
1594008482,1744,1
1594008721,1,0
1594009921,2,0
1594010402,26,30
1594010521,5,0
1594010697,1,0
1594011721,6,0
1594012322,47,23
1594012921,3,0
1594013521,1,0
1594014122,5,0
1594015321,7,0
